N,xi_1,xi_2,xi_3,xi_4,E
1,-1.31111111111111,-3.40873015873016,2.41160241874528,0.258542094086312,5.40873015873016
2,0.597590333017393,-2.82004040383265,1.80527123363393,0.5069735615587,1.9087014441285
3,0.329462704264235,-2.98299494459312,1.90997737716555,0.462621941843446,0.268127628753158
4,0.393730405636114,-2.95733748947595,1.88975940133839,0.47136602695565,0.0642677013718795
5,0.382966594508793,-2.9626757051632,1.89353965738982,0.469752114628797,0.0107638111273209
6,0.385131686214454,-2.96171533593986,1.89282237564396,0.470060437129944,0.00216509170566093
7,0.3847356749501,-2.96190124971407,1.89295747192174,0.470002567271049,0.000396011264354068
8,0.384811679906699,-2.96186658763004,1.89293193120933,0.470013527315444,7.6004956598652e-05
9,0.384797447677874,-2.96187317485601,1.89293675055472,0.47001146110357,1.42322288247954e-05
